sentence,source,title,sentence_length,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
Controle op gebruik algoritmische surveillance onder druk?,AbstractiveSummEP,AISurveillance,8,12.425714285714289,16.385714285714286,22.81135614285715,18.44428571428573,14.228571428571428,64.14285714285714,10.745966692414834,4.0,19.773699999999998,0,0,0,0,0,0,0,0,0
Exploratie door lens relationele ethiek.,AbstractiveSummEP,AISurveillance,6,12.320000000000004,14.04,19.440697,15.640000000000004,10.0,45.0,8.477225575051662,2.0,16.5165,0,0,0,0,0,1,0,0,0
Technologische ontwikkelingen sinds einde 20ste eeuw leiden tot nieuwe mogelijkheden data verzamelen en analyseren.,AbstractiveSummEP,AISurveillance,15,19.37,19.549285714285716,24.50474392857143,-18.874999999999993,17.02857142857143,49.714285714285715,13.954451150103322,5.0,20.1209,0,0,0,0,0,0,0,0,0
Big data en AI in 21ste eeuw interessant voor politie.,AbstractiveSummEP,AISurveillance,11,6.010000000000002,4.2940000000000005,7.111812400000005,69.78500000000003,12.0,30.0,10.745966692414834,2.0,16.7645,0,0,0,0,0,1,0,0,0
Gebruik technologie door politie als algoritmische surveillance.,AbstractiveSummEP,AISurveillance,8,17.482857142857146,20.42285714285714,27.85122842857143,-17.812857142857137,25.65714285714286,78.42857142857143,13.954451150103322,5.0,17.517985714285714,0,0,0,0,0,1,0,0,0
"Gebruik maken van regelgebaseerde algoritmen om gegevens te classificeren, opslaan, combineren en doorzoeken, en om deze te vergelijken met andere gegevens om overeenkomsten te vinden.",AbstractiveSummEP,AISurveillance,29,19.648,20.4604,19.705975040000006,-1.2759999999999785,24.400000000000002,69.0,19.431676725154983,11.0,20.0349,0,0,0,0,0,0,0,0,0
Machine-lerende algoritmen gebruiken om patronen en bruikbare kennis in grote datasets te voorspellen.,AbstractiveSummEP,AISurveillance,14,15.803076923076926,17.315384615384616,22.17761592307692,4.9169230769230925,20.58461538461539,66.84615384615384,15.24744871391589,7.0,18.856684615384616,0,0,0,0,0,1,0,0,0
"Ondanks de toegenomen regelgeving, die bedoeld is om de democratische waarborgen te garanderen, lijkt het gebruik ervan te worden gestimuleerd.",AbstractiveSummEP,AISurveillance,23,14.040000000000003,17.0655,18.29293055000001,30.02500000000002,20.0,65.0,16.41640786499874,9.0,18.8395,1,1,0,0,1,1,0,0,1
Bijvoorbeeld door de toename van het gebruik van 'intelligent' cameratoezicht in BelgiÃ« en andere Europese landen.,AbstractiveSummEP,AISurveillance,20,13.5125,14.829999999999998,17.629097,26.682500000000015,11.4,53.5,10.745966692414834,6.0,18.24635,0,0,0,0,0,0,0,0,0
Dit stelt de vraag of de huidige controlemechanismen voldoende zijn om alle burgers te beschermen tegen de mogelijke gevolgen van algoritmische surveillance door de politie.,AbstractiveSummEP,AISurveillance,26,14.456,18.953200000000002,17.82442272000001,35.94800000000001,21.200000000000003,65.0,17.491376746189438,10.0,19.4033,1,0,0,0,0,1,0,0,0
Het doel van dit artikel is om na te denken over de vraag of de huidige controle- en handhavingsmechanismen voor het gebruik van algoritmische surveillance door de politie aangepast moeten worden.,AbstractiveSummEP,AISurveillance,32,15.912903225806453,18.987419354838707,14.351076129032261,36.18935483870968,20.14193548387097,60.03225806451613,16.41640786499874,9.0,18.92668064516129,1,2,0,1,0,1,0,1,0
"Om hier een antwoord op te krijgen, zal ik in het eerste deel drie sociotechnische ontwikkelingen bespreken die het huidige kader onder druk zetten.",AbstractiveSummEP,AISurveillance,26,12.945,14.708750000000002,13.100629041666668,45.000000000000014,14.600000000000001,49.0,12.486832980505138,6.0,19.301066666666667,0,1,0,0,1,0,0,0,0
In het tweede deel zal ik de huidige controle- en handhavingsmechanismen bekijken door de bril van de relationele ethiek om te onderzoeken hoe we hieruit kunnen leren om deze mechanismen aan te passen.,AbstractiveSummEP,AISurveillance,34,15.51636363636364,18.905454545454546,13.058221363636367,42.59454545454549,19.260606060606065,57.24242424242424,15.24744871391589,8.0,19.149360606060604,0,2,0,0,1,0,0,0,0
"Door de opkomst van algoritmische surveillance in het politiewerk, kunnen drie sociotechnische ontwikkelingen geÃ¯dentificeerd worden die het traditionele controle- en handhavingskader onder druk zetten:",AbstractiveSummEP,AISurveillance,26,20.592000000000002,24.2284,24.409855840000006,-8.044000000000008,22.8,65.0,18.491933384829668,10.0,18.771700000000003,0,2,0,0,1,0,0,0,0
"1) de fragmentatie en privatisering van politiewerk, 2)",AbstractiveSummEP,AISurveillance,11,9.655000000000001,9.063749999999999,13.574947875000003,40.09000000000001,18.2,45.5,12.486832980505138,3.0,19.823300000000003,0,0,0,0,0,1,0,0,0
